order_number,line_item,order_date,delivery_date,customerkey,productkey,quantity,currency_code,open_date,gender,first_name,last_name,city,state_code,state,zip_code,country,continent,birthday,year,month,age,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,Exchange_Rate,Generation
1420016,1,2018-11-20,2018-11-24,1253166,373,3,USD,2010-01-01,Male,John,Watson,Woburn,MA,Massachusetts,1801,United States,North America,1966-04-24,1966,April,58,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,1.0000,Digital Revolution (1951-1970)
1167008,1,2018-12-03,2018-03-16,254779,373,1,CAD,2010-01-01,Female,Susan,Brewster,Guelph,ON,Ontario,N1H 2W8,Canada,North America,2000-08-14,2000,August,24,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,1.2829,Modern Era (1991-2015)
1382022,4,2018-10-13,2018-10-16,820848,373,2,EUR,2010-01-01,Female,Afra,van Muijen,Utrecht,UT,Utrecht,3555 ET,Netherlands,Europe,1977-05-23,1977,May,47,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,0.8640,Tech Boom (1971-1990)
1519044,1,2019-02-27,2019-03-03,1489075,373,6,USD,2010-01-01,Female,Gladys,Lang,Fairview,WV,West Virginia,26570,United States,North America,1959-08-31,1959,August,65,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,1.0000,Digital Revolution (1951-1970)
1870051,2,2020-02-13,2020-02-15,1883755,373,1,USD,2010-01-01,Female,Michelle,Spencer,Oakland,CA,California,94612,United States,North America,1968-01-30,1968,January,56,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2000,326.0000,301,Laptops,3,Computers,1.0000,Digital Revolution (1951-1970)
366002,3,2016-01-01,2016-12-01,266019,1080,4,CAD,2010-01-01,Female,Joan,Roche,Red Deer,AB,Alberta,T4N 2A6,Canada,North America,1962-08-24,1962,August,62,Contoso SLR Camera X143 Silver,Contoso,Silver,214.0300,646.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.3884,Digital Revolution (1951-1970)
484008,2,2016-04-28,2016-01-05,1430718,1080,3,USD,2010-01-01,Female,Sherry,Holloway,Indianapolis,IN,Indiana,46204,United States,North America,2001-10-19,2001,October,23,Contoso SLR Camera X143 Silver,Contoso,Silver,214.0300,646.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.0000,Modern Era (1991-2015)
1458013,1,2018-12-28,2019-02-01,1718194,1080,1,USD,2010-01-01,Female,Amanda,Harding,Bay City,MI,Michigan,48706,United States,North America,1943-02-27,1943,February,81,Contoso SLR Camera X143 Silver,Contoso,Silver,214.0300,646.0000,402,Digital SLR Cameras,4,Cameras and camcorders,1.0000,Early Era (1935-1950)
366010,1,2016-01-01,2016-08-01,370077,618,5,CAD,2010-01-01,Female,Carlota,Etzel,Sainte-Gertrude,QC,Quebec,G0X 2S0,Canada,North America,1971-02-02,1971,February,53,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.0600,299.0000,305,Projectors & Screens,3,Computers,1.3884,Tech Boom (1971-1990)
388004,2,2016-01-23,2016-01-31,776431,618,3,EUR,2010-01-01,Male,Lionello,Padovano,Casavecchia,MC,Macerata,62036,Italy,Europe,2000-02-24,2000,February,24,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.0600,299.0000,305,Projectors & Screens,3,Computers,0.9252,Modern Era (1991-2015)
570008,1,2016-07-23,2016-07-30,1018779,618,5,GBP,2010-01-01,Female,Natasha,Banks,MELVERLEY,Powys,Powys,SY22 3JD,United Kingdom,Europe,1993-04-29,1993,April,31,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.0600,299.0000,305,Projectors & Screens,3,Computers,0.7636,Modern Era (1991-2015)
1412004,2,2018-12-11,2018-11-17,876718,618,1,EUR,2010-01-01,Female,Anna,Altena,Almere,FL,Flevoland,1314 JG,Netherlands,Europe,1936-03-16,1936,March,88,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.0600,299.0000,305,Projectors & Screens,3,Computers,0.8877,Early Era (1935-1950)
1506049,3,2019-02-14,2019-02-18,1997765,618,2,USD,2010-01-01,Female,Sinikka,Silvan,Bridgeport,NJ,New Jersey,8014,United States,North America,1985-01-30,1985,January,39,WWI Screen 113in M1610 Black,Wide World Importers,Black,99.0600,299.0000,305,Projectors & Screens,3,Computers,1.0000,Tech Boom (1971-1990)
1263026,1,2018-06-16,2018-06-21,370077,54,3,CAD,2010-01-01,Female,Carlota,Etzel,Sainte-Gertrude,QC,Quebec,G0X 2S0,Canada,North America,1971-02-02,1971,February,53,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.3128,Tech Boom (1971-1990)
386011,1,2016-01-21,2016-01-28,541598,54,6,EUR,2010-01-01,Female,Julia,Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,1973-02-06,1973,February,51,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,0.9180,Tech Boom (1971-1990)
687000,3,2016-11-17,2016-11-19,1114100,54,8,GBP,2010-01-01,Female,Holly,Mellor,SHILLINGFORD,Mid Devon,Mid Devon,EX16 3WY,United Kingdom,Europe,1962-11-21,1962,November,62,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,0.8030,Digital Revolution (1951-1970)
971007,4,2017-08-28,2017-08-30,2023998,54,3,USD,2010-01-01,Male,Wilgot,Abrahamsson,Ocala,FL,Florida,34471,United States,North America,1957-03-28,1957,March,67,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Digital Revolution (1951-1970)
953005,3,2017-10-08,2017-08-15,138332,54,2,AUD,2010-01-01,Female,Natasha,White-Haney,WAANYARRA,VIC,Victoria,3551,Australia,Australia,1972-11-30,1972,November,52,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.2690,Tech Boom (1971-1990)
1042001,1,2017-07-11,2017-12-11,459567,54,1,EUR,2010-01-01,Female,Ursula,Gottlieb,Kaltental,BY,Freistaat Bayern,87662,Germany,Europe,1999-08-12,1999,August,25,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,0.8649,Modern Era (1991-2015)
1135010,3,2018-08-02,2018-11-02,1951334,54,7,USD,2010-01-01,Female,Nicole,Castro,Herndon,VA,Virginia,20170,United States,North America,1968-06-09,1968,June,56,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Digital Revolution (1951-1970)
1148020,3,2018-02-21,2018-02-24,1670789,54,1,USD,2010-01-01,Male,David,Hamlin,Salinas,CA,California,93901,United States,North America,1960-10-12,1960,October,64,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Digital Revolution (1951-1970)
1160004,1,2018-05-03,2018-08-03,106880,54,8,AUD,2010-01-01,Female,Alexandra,Douglas,BLACKBUTT,NSW,New South Wales,2529,Australia,Australia,1942-07-06,1942,July,82,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.2909,Early Era (1935-1950)
1809058,1,2019-12-14,2019-12-18,244193,54,6,CAD,2010-01-01,Male,Daniel,Lippert,Etobicoke,ON,Ontario,M9W 1K7,Canada,North America,1959-03-15,1959,March,65,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.3166,Digital Revolution (1951-1970)
1307003,3,2018-07-30,2018-06-08,1528611,54,2,USD,2010-01-01,Male,Richard,Watkins,Northampton,PA,Pennsylvania,18067,United States,North America,1998-07-10,1998,July,26,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Modern Era (1991-2015)
1436022,1,2018-06-12,2018-09-12,1940708,54,1,USD,2010-01-01,Female,Melissa,Souza,Mansfield,OH,Ohio,44902,United States,North America,1938-09-09,1938,September,86,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Early Era (1935-1950)
1398001,1,2018-10-29,2018-02-11,1967003,54,4,USD,2010-01-01,Female,Marketa,Hrdinova,Saint Charles,MO,Missouri,63301,United States,North America,2001-04-12,2001,April,23,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Modern Era (1991-2015)
1401017,3,2018-01-11,2018-06-11,813109,54,1,EUR,2010-01-01,Female,Lily,Ebben,Elst,GE,Gelderland,6662 ZM,Netherlands,Europe,1963-02-14,1963,February,61,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,0.8777,Digital Revolution (1951-1970)
1787019,2,2019-11-22,2019-11-27,1638118,54,6,USD,2010-01-01,Female,Lillian,Evans,Wahiawa,HI,Hawaii,96786,United States,North America,1938-09-18,1938,September,86,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Early Era (1935-1950)
1450056,1,2018-12-20,2018-12-24,1414050,54,9,USD,2010-01-01,Female,Margo,Waller,Chicago,IL,Illinois,60606,United States,North America,1946-05-02,1946,May,78,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Early Era (1935-1950)
1471006,6,2019-10-01,2019-01-17,1588014,54,1,USD,2010-01-01,Female,Deborah,Campbell,Battle Creek,MI,Michigan,49017,United States,North America,1996-01-28,1996,January,28,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Modern Era (1991-2015)
1619017,2,2019-07-06,2019-08-06,1484963,54,1,USD,2010-01-01,Female,Lynda,Fiore,Uniondale,IN,Indiana,46791,United States,North America,1944-11-21,1944,November,80,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Early Era (1935-1950)
1494010,3,2019-02-02,2019-05-02,1251726,54,1,USD,2010-01-01,Male,Aaron,Taylor,Winston Salem,NC,North Carolina,27001,United States,North America,1961-11-21,1961,November,63,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Digital Revolution (1951-1970)
1510015,1,2019-02-18,2019-02-26,1372423,54,5,USD,2010-01-01,Female,Kari,Byrne,Wyandotte,MI,Michigan,48192,United States,North America,1942-06-27,1942,June,82,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Early Era (1935-1950)
1523001,1,2019-03-03,2019-04-03,1533381,54,2,USD,2010-01-01,Female,Morgan,Herman,River Edge,NJ,New Jersey,7649,United States,North America,1987-02-18,1987,February,37,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Tech Boom (1971-1990)
1751008,4,2019-10-17,2019-10-25,1215660,54,1,USD,2010-01-01,Female,Frances,Bacher,Wilton,CT,Connecticut,6897,United States,North America,2000-03-05,2000,March,24,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Modern Era (1991-2015)
1749020,1,2019-10-15,2019-10-21,1848776,54,1,USD,2010-01-01,Male,Eugene,Kyle,Dallas,TX,Texas,75207,United States,North America,1997-10-07,1997,October,27,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Modern Era (1991-2015)
2033002,1,2020-07-25,2020-07-28,1163311,54,2,GBP,2010-01-01,Female,Paige,Field,Hampton,Shropshire,Shropshire,WV16 5XT,United Kingdom,Europe,1975-07-23,1975,July,49,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,0.7838,Tech Boom (1971-1990)
1825026,1,2019-12-30,2020-02-01,1386926,54,3,USD,2010-01-01,Male,Scott,Castillo,Southern Pines,NC,North Carolina,28387,United States,North America,1978-04-05,1978,April,46,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Tech Boom (1971-1990)
1883008,1,2020-02-26,2020-03-03,1287822,54,1,USD,2010-01-01,Female,Annie,Jones,Chicago,IL,Illinois,60606,United States,North America,1936-06-17,1936,June,88,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.0700,296.0000,104,Recording Pen,1,Audio,1.0000,Early Era (1935-1950)
366014,1,2016-01-01,2016-06-01,738549,123,1,EUR,2010-01-01,Female,Clara,Toscani,Pollone,BI,Biella,13814,Italy,Europe,1998-12-25,1998,December,26,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.7600,279.9900,201,Televisions,2,TV and Video,0.9185,Modern Era (1991-2015)
397004,1,2016-01-02,2016-10-02,1866421,123,2,USD,2010-01-01,Female,Melanie,Ward,San Ramon,CA,California,94583,United States,North America,1958-01-22,1958,January,66,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.7600,279.9900,201,Televisions,2,TV and Video,1.0000,Digital Revolution (1951-1970)
1274006,1,2018-06-27,2018-02-07,1579793,123,1,USD,2010-01-01,Female,Maryanne,Carpenter,Jacksonville,FL,Florida,32246,United States,North America,1972-08-24,1972,August,52,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.7600,279.9900,201,Televisions,2,TV and Video,1.0000,Tech Boom (1971-1990)
1515057,2,2019-02-23,2019-03-03,1025892,123,2,GBP,2010-01-01,Female,Elizabeth,Hunter,LOCHMADDY,Comhairle nan Eilean Siar,Comhairle nan Eilean Siar,HS6 8PQ,United Kingdom,Europe,1940-09-13,1940,September,84,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.7600,279.9900,201,Televisions,2,TV and Video,0.7705,Early Era (1935-1950)
1809059,1,2019-12-14,2019-12-21,488989,123,2,EUR,2010-01-01,Male,Lukas,Frankfurter,Seevetal,NI,Niedersachsen,21220,Germany,Europe,1973-06-06,1973,June,51,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.7600,279.9900,201,Televisions,2,TV and Video,0.8949,Tech Boom (1971-1990)
1820040,1,2019-12-25,2019-12-29,1982856,123,2,USD,2010-01-01,Male,Myron,Branch,Sacramento,CA,California,95814,United States,North America,1935-12-03,1935,December,89,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Black,128.7600,279.9900,201,Televisions,2,TV and Video,1.0000,Early Era (1935-1950)
366014,2,2016-01-01,2016-06-01,738549,1700,2,EUR,2010-01-01,Female,Clara,Toscani,Pollone,BI,Biella,13814,Italy,Europe,1998-12-25,1998,December,26,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,0.9185,Modern Era (1991-2015)
898008,1,2017-06-16,2017-06-23,1510628,1700,1,USD,2010-01-01,Male,Albert,Williams,Beaufort,SC,South Carolina,29902,United States,North America,1952-12-24,1952,December,72,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,1.0000,Digital Revolution (1951-1970)
1396027,3,2018-10-27,2018-10-29,1605500,1700,3,USD,2010-01-01,Female,Regina,Edwards,Detroit,MI,Michigan,48219,United States,North America,1938-12-24,1938,December,86,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,1.0000,Early Era (1935-1950)
1729023,7,2019-09-25,2019-09-26,834711,1700,1,EUR,2010-01-01,Male,Elzo,Ratering,Utrecht,UT,Utrecht,3513 GB,Netherlands,Europe,1972-01-20,1972,January,52,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,0.9106,Tech Boom (1971-1990)
1526007,2,2019-06-03,2019-11-03,1930815,1700,7,USD,2010-01-01,Female,Nikolina,Topic,Asheville,NC,North Carolina,28801,United States,North America,1939-04-24,1939,April,85,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,1.0000,Early Era (1935-1950)
1823047,2,2019-12-28,2020-02-01,486542,1700,4,EUR,2010-01-01,Male,Christian,Drechsler,Bernburg,ST,Sachsen-Anhalt,6400,Germany,Europe,1953-01-06,1953,January,71,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,0.8966,Digital Revolution (1951-1970)
1786011,2,2019-11-21,2019-11-27,510491,1700,2,EUR,2010-01-01,Female,Franziska,Zimmer,Muhldorf,BY,Freistaat Bayern,84442,Germany,Europe,1959-10-31,1959,October,65,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,0.9016,Digital Revolution (1951-1970)
1868015,1,2020-11-02,2020-02-16,830366,1700,2,EUR,2010-01-01,Male,Gjalt,Jongedijk,Utrecht,UT,Utrecht,3543 HH,Netherlands,Europe,1936-11-30,1936,November,88,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,0.9173,Early Era (1935-1950)
2077000,1,2020-07-09,2020-09-09,1518651,1700,3,USD,2010-01-01,Male,Eric,McBride,Boca Raton,FL,Florida,33486,United States,North America,1960-01-31,1960,January,64,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,1.0000,Digital Revolution (1951-1970)
2115006,1,2020-10-15,2020-10-19,1760076,1700,1,USD,2010-01-01,Male,Robert,Tillis,Philadelphia,PA,Pennsylvania,19108,United States,North America,1978-08-20,1978,August,46,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,1.0000,Tech Boom (1971-1990)
2162001,3,2020-01-12,2020-03-12,1241542,1700,1,USD,2010-01-01,Female,Pamela,Serrano,Utica,NY,New York,13502,United States,North America,1992-11-14,1992,November,32,SV Hand Games women M40 Red,Southridge Video,Red,4.0800,8.8800,701,Boxed Games,7,Games and Toys,1.0000,Modern Era (1991-2015)
367005,1,2016-02-01,2016-10-01,758280,1691,1,EUR,2010-01-01,Male,Adolfo,Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,1993,July,31,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,0.9185,Modern Era (1991-2015)
1797012,1,2019-02-12,2019-05-12,213806,1691,6,CAD,2010-01-01,Female,Patsy,Underwood,Toronto,ON,Ontario,M6B 1J8,Canada,North America,1937-12-12,1937,December,87,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.3296,Early Era (1935-1950)
1732014,2,2019-09-28,2019-01-10,1950884,1691,10,USD,2010-01-01,Female,Rachel,Doyne,Gig Harbor,WA,Washington,98335,United States,North America,1992-06-28,1992,June,32,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.0000,Modern Era (1991-2015)
2068000,1,2020-08-29,2020-08-30,480220,1691,3,EUR,2010-01-01,Female,Franziska,Scholz,Hohenkammer,BY,Freistaat Bayern,85411,Germany,Europe,1973-10-08,1973,October,51,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,0.8393,Tech Boom (1971-1990)
1455051,3,2018-12-25,2018-12-31,463114,1691,10,EUR,2010-01-01,Male,Stefan,Krueger,Nussloch,BW,Baden-Wurttemberg,69226,Germany,Europe,1960-02-29,1960,February,64,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,0.8766,Digital Revolution (1951-1970)
1472015,2,2019-11-01,2019-01-18,1728581,1691,2,USD,2010-01-01,Female,Keshia,King,Corpus Christi,TX,Texas,78476,United States,North America,1944-07-22,1944,July,80,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.0000,Early Era (1935-1950)
1529017,1,2019-09-03,2019-03-15,902893,1691,3,GBP,2010-01-01,Male,Gabriel,Miah,HIGH BALANTYRE,Argyllshire,Argyllshire,PA32 3ET,United Kingdom,Europe,1939-05-01,1939,May,85,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,0.7655,Early Era (1935-1950)
1627010,2,2019-06-15,2019-06-18,1378568,1691,5,USD,2010-01-01,Female,Gwendolyn,Jones,Nashville,TN,Tennessee,37210,United States,North America,1996-06-29,1996,June,28,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.0000,Modern Era (1991-2015)
1653029,2,2019-11-07,2019-07-15,1461041,1691,9,USD,2010-01-01,Male,George,Halterman,Ogden,UT,Utah,84401,United States,North America,1962-07-23,1962,July,62,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.0000,Digital Revolution (1951-1970)
1779023,1,2019-11-14,2019-11-17,1433584,1691,5,USD,2010-01-01,Female,Cameron,Ellison,Rose Hill,IA,Iowa,52586,United States,North America,1943-03-11,1943,March,81,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.0000,Early Era (1935-1950)
1795049,1,2019-11-30,2019-04-12,376019,1691,1,CAD,2010-01-01,Female,Lisa,Parkes,Windsor,ON,Ontario,N9A 1H9,Canada,North America,1964-01-21,1964,January,60,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.3307,Digital Revolution (1951-1970)
1825007,3,2019-12-30,2020-02-01,598323,1691,1,EUR,2010-01-01,Male,Mike,Nadel,Aschaffenburg,BY,Freistaat Bayern,63717,Germany,Europe,1954-01-21,1954,January,70,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,0.8937,Digital Revolution (1951-1970)
2053004,1,2020-08-14,2020-08-17,1261112,1691,7,USD,2010-01-01,Male,George,Fisher,Florence,KY,Kentucky,41042,United States,North America,1949-02-02,1949,February,75,SV Hand Games for kids E30 Black,Southridge Video,Black,2.7500,5.3900,701,Boxed Games,7,Games and Toys,1.0000,Early Era (1935-1950)
367005,2,2016-02-01,2016-10-01,758280,319,2,EUR,2010-01-01,Male,Adolfo,Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,1993,July,31,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,287.9200,869.0000,205,Car Video,2,TV and Video,0.9185,Modern Era (1991-2015)
2050004,1,2020-11-08,2020-08-13,1868176,319,2,USD,2010-01-01,Female,Amanda,Tobin,Miami,FL,Florida,33165,United States,North America,1989-10-05,1989,October,35,SV Car Video LCD9.2W X9281 Silver,Southridge Video,Silver,287.9200,869.0000,205,Car Video,2,TV and Video,1.0000,Tech Boom (1971-1990)
367005,3,2016-02-01,2016-10-01,758280,1674,8,EUR,2010-01-01,Male,Adolfo,Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,1993,July,31,MGS Hand Games for students E400 Red,Tailspin Toys,Red,3.5600,6.9900,701,Boxed Games,7,Games and Toys,0.9185,Modern Era (1991-2015)
